Model,Fold,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,1,0.7246506986027945,0.22439024390243903,0.7666666666666667,0.3471698113207547,0.7946773120425815,0.3915638206540767
Logistic Regression,2,0.7329470198675496,0.22666666666666666,0.85,0.35789473684210527,0.7872516556291391,0.293837474555758
Logistic Regression,3,0.6695275009228498,0.1828793774319066,0.746031746031746,0.29375,0.748400393749231,0.30055336764398244
Logistic Regression,4,0.7377744510978044,0.19927536231884058,0.9166666666666666,0.3273809523809524,0.8166333998669328,0.4325198017288686
Logistic Regression,5,0.664407334643091,0.19689119170984457,0.6333333333333333,0.30039525691699603,0.7216437459070072,0.27648652984954103
Decision Tree,1,0.6583832335329342,0.46808510638297873,0.36666666666666664,0.411214953271028,0.6563040585495676,0.22142581726436544
Decision Tree,2,0.6274282560706401,0.40425531914893614,0.31666666666666665,0.35514018691588783,0.6248712288447388,0.19195001272268908
Decision Tree,3,0.651531930601698,0.41818181818181815,0.36507936507936506,0.3898305084745763,0.6505475575243017,0.2144357136438474
Decision Tree,4,0.6947604790419162,0.3815789473684211,0.48333333333333334,0.4264705882352941,0.6885063206919495,0.2142238952997467
Decision Tree,5,0.6381794368041912,0.40816326530612246,0.3333333333333333,0.3669724770642202,0.6375573018991486,0.20129551629622583
SVM,1,0.7779441117764472,0.26455026455026454,0.8333333333333334,0.40160642570281124,0.8426147704590818,0.4561705183544952
SVM,2,0.7826158940397351,0.2833333333333333,0.85,0.425,0.8320640176600442,0.32054088296567096
SVM,3,0.6991971207087486,0.21634615384615385,0.7142857142857143,0.33210332103321033,0.7802694721299372,0.4151439919016257
SVM,4,0.7656686626746507,0.23636363636363636,0.8666666666666667,0.37142857142857144,0.8445109780439122,0.511798432196394
SVM,5,0.6992305173542894,0.22043010752688172,0.6833333333333333,0.3333333333333333,0.7699410609037328,0.32455358641812204
Random Forest,1,0.6903692614770459,0.5813953488372093,0.4166666666666667,0.4854368932038835,0.8637391882900864,0.5025649659900807
Random Forest,2,0.6612582781456954,0.5238095238095238,0.36666666666666664,0.43137254901960786,0.8430463576158942,0.4528796257677376
Random Forest,3,0.702842377260982,0.5833333333333334,0.4444444444444444,0.5045045045045045,0.8488679709609943,0.4826487206762613
Random Forest,4,0.6793912175648703,0.46296296296296297,0.4166666666666667,0.43859649122807015,0.8483865602129075,0.5319165845274795
Random Forest,5,0.6283889980353634,0.45,0.3,0.36,0.8350851342501637,0.4500367717223857
XGBoost,1,0.7214570858283433,0.3541666666666667,0.5666666666666667,0.4358974358974359,0.8594145043246839,0.5390242200089469
XGBoost,2,0.7326710816777042,0.3711340206185567,0.6,0.4585987261146497,0.8544701986754967,0.4448706927121861
XGBoost,3,0.7157622739018088,0.35353535353535354,0.5555555555555556,0.43209876543209874,0.8242278823674172,0.47860399032288276
XGBoost,4,0.7041417165668663,0.3173076923076923,0.55,0.4024390243902439,0.8452095808383234,0.5128213735481612
XGBoost,5,0.6773411918795023,0.32941176470588235,0.4666666666666667,0.38620689655172413,0.8045186640471512,0.38778041801752594
