Model,Fold,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Logistic Regression,1,0.5417558886509636,0.5419020961189636,0.4885326403442034,0.5419020961189636,0.4999268233214848,0.5282824713648818
Logistic Regression,2,0.5466377440347071,0.5379060511224395,0.4950323838269508,0.5379060511224395,0.47869079814159904,0.5268403318190618
Logistic Regression,3,0.5148936170212766,0.4585509973179412,0.4501374810588323,0.4585509973179412,0.45098471798075296,0.5028863205028045
Logistic Regression,4,0.5726315789473684,0.5451652339191518,0.5322893107963337,0.5451652339191518,0.5166295267458306,0.5561078691111001
Logistic Regression,5,0.5156576200417536,0.5183049293737222,0.486469242807271,0.5183049293737222,0.488102875208271,0.5111443446115053
Decision Tree,1,0.6316916488222698,0.6006946042381904,0.6018781412337554,0.6006946042381904,0.6007362039099232,0.6347470149384229
Decision Tree,2,0.6030368763557483,0.5575904597891862,0.5507707440644622,0.5575904597891862,0.5534797757915467,0.6045083946723382
Decision Tree,3,0.5680851063829787,0.5014888515513355,0.5270543019317321,0.5014888515513355,0.5079549980087615,0.562545374818882
Decision Tree,4,0.5578947368421052,0.5112228648618324,0.5162334609060417,0.5112228648618324,0.5132704849278004,0.5543215724351215
Decision Tree,5,0.5407098121085595,0.5215950813357053,0.5183277989558396,0.5215950813357053,0.5198730700009473,0.5412725787419443
SVM,1,0.6081370449678801,0.6123759957920129,0.5692382720093169,0.6123759957920129,0.579256941208889,0.6051380872683058
SVM,2,0.6182212581344902,0.6049870887519572,0.5719237832874197,0.6049870887519572,0.5796826996900372,0.6164945318666707
SVM,3,0.6510638297872341,0.613048411924897,0.6106954301540592,0.613048411924897,0.6072777784180966,0.6407236305739652
SVM,4,0.6252631578947369,0.5940908260279595,0.5830806373732497,0.5940908260279595,0.5765775339143822,0.6148135418397633
SVM,5,0.5720250521920668,0.5632655442547118,0.5431318885302499,0.5632655442547118,0.5487911546231882,0.5677898935841484
Random Forest,1,0.6680942184154176,0.6645572187740862,0.6461087924165909,0.6645572187740862,0.652913176337077,0.6721357714369431
Random Forest,2,0.6832971800433839,0.652395875647708,0.6425716569601462,0.652395875647708,0.6467999929341519,0.6829166149733629
Random Forest,3,0.6659574468085107,0.6190685941348151,0.6373656850127438,0.6190685941348151,0.6264210523342683,0.6608286509029803
Random Forest,4,0.68,0.6442609283448503,0.6442793869544541,0.6442609283448503,0.6427250219516057,0.6755580329239993
Random Forest,5,0.6534446764091858,0.6252349680395514,0.6245076245076245,0.6252349680395514,0.6217414257153195,0.644823652043817
XGBoost,1,0.6359743040685225,0.6311486502840152,0.6154033672119109,0.6311486502840152,0.6180516019399214,0.6446789871796411
XGBoost,2,0.6702819956616052,0.6530342863245663,0.6256702612060906,0.6530342863245663,0.633485915224791,0.667333253973875
XGBoost,3,0.6808510638297872,0.6342304976059453,0.6446741854636591,0.6342304976059453,0.6368389495939982,0.6725708141170573
XGBoost,4,0.6757894736842105,0.6485744453831316,0.6334461656148402,0.6485744453831316,0.6368089316182979,0.6720458096394579
XGBoost,5,0.6555323590814196,0.6284322117205895,0.6229948393018082,0.6284322117205895,0.6166066171317683,0.6402645809711937
